基金编号,交易时间,购买份额,交易资金
005217,2017-11-02 00:00:00,1000.17,1000
005217,2017-11-21 00:00:00,997.90,1000
005217,2017-11-29 00:00:00,997.21,1000
005217,2017-12-08 00:00:00,995.71,1000
005217,2017-12-12 00:00:00,995.42,1000
005217,2018-01-11 00:00:00,987.55,1000
005217,2018-01-22 00:00:00,986.09,1000
005217,2018-02-26 00:00:00,2975.58,3000
005217,2018-03-16 00:00:00,4938.22,5000
005217,2018-04-03 00:00:00,1989.65,2000
005217,2018-04-18 00:00:00,2991.92,3000
005217,2018-05-25 00:00:00,9889.16,10000
005217,2018-12-07 00:00:00,3034.62,3000
005217,2019-01-08 00:00:00,3062.53,3000
005217,2019-03-05 00:00:00,2937.96,3000
005217,2019-03-11 00:00:00,9730.27,10000
005217,2019-04-12 00:00:00,9545.29,10000
005217,2020-03-23 00:00:00,-58050.00,-61890.93
005217,2020-04-09 00:00:00,9068.81,10000
005217,2020-05-06 00:00:00,8909.51,10000
005217,2020-05-14 00:00:00,8910.30,10000
005217,2020-05-21 00:00:00,8927.81,10000
005217,2020-05-28 00:00:00,4483.13,5000
005217,2020-06-11 00:00:00,4441.68,5000
005217,2020-07-03 00:00:00,8624.21,10000
161716,2019-01-03 00:00:00,825.10,1000
161716,2019-01-07 00:00:00,7419.81,9000
161716,2019-02-19 00:00:00,8163.41,10000
161716,2020-02-03 00:00:00,1075.23,1400
161716,2020-05-25 00:00:00,1129.46,1500
519062,2019-05-24 00:00:00,8065.44,10000
519062,2019-07-17 00:00:00,3956.03,5000
519062,2019-09-30 00:00:00,3903.45,5000
519062,2019-10-28 00:00:00,7752.34,10000
519062,2019-12-16 00:00:00,0,-4593.39
519062,2019-12-23 00:00:00,3624.33,4000
519062,2020-02-14 00:00:00,17641.38,20000
519062,2020-03-04 00:00:00,8781.90,10000
519062,2020-03-27 00:00:00,8844.13,10000
519062,2020-04-01 00:00:00,8828.49,10000
519062,2020-05-06 00:00:00,17486.90,20000
519062,2020-05-13 00:00:00,17425.86,20000
519062,2020-05-28 00:00:00,8758.79,10000
519062,2020-06-15 00:00:00,17380.37,20000
519062,2020-07-03 00:00:00,8660.03,10000
000248,2019-05-21 00:00:00,276.78,500.00
000248,2019-06-21 00:00:00,263.99,500.00
000248,2019-07-02 00:00:00,250.92,500.00
000248,2019-07-11 00:00:00,510.53,1000.00
000248,2019-07-16 00:00:00,253.40,500.00
000248,2019-07-30 00:00:00,255.89,500.00
000248,2019-08-19 00:00:00,516.15,1000
000248,2019-09-06 00:00:00,-2327.66,-4691.56
000148,2019-05-23 00:00:00,17050.30,20000
000148,2019-08-06 00:00:00,0,-861.16
000148,2019-08-08 00:00:00,8779.63,10000
000148,2019-08-27 00:00:00,18388.79,21000
000148,2020-02-07 00:00:00,8748.91,10000
000148,2020-03-05 00:00:00,44052.86,50000
000148,2020-03-12 00:00:00,17605.63,20000
000148,2020-03-23 00:00:00,-61778.20,-69981.55
000148,2020-05-06 00:00:00,34722.22,40000
000148,2020-05-08 00:00:00,0,-1576.26
217011,2019-05-24 00:00:00,33025.09,50000
217011,2020-03-05 00:00:00,3143.86,5000
217011,2020-03-10 00:00:00,3137.55,5000
217011,2020-03-11 00:00:00,3137.55,5000
217011,2020-03-18 00:00:00,-2000,-3179.20
217011,2020-03-23 00:00:00,-40444.05,-64363.85
485011,2019-03-01 00:00:00,681.66,1000
485011,2019-03-06 00:00:00,679.81,1000
485011,2019-03-08 00:00:00,2049.18,3000
485011,2019-03-15 00:00:00,3410.64,5000
485011,2019-03-18 00:00:00,680.74,1000
485011,2019-04-10 00:00:00,6798.10,10000
485011,2019-04-18 00:00:00,681.66,1000
485011,2019-05-13 00:00:00,13586.96,20000
485011,2019-05-20 00:00:00,1358.70,2000
485011,2019-06-17 00:00:00,4059.54,6000
485011,2019-06-18 00:00:00,1351.35,2000
485011,2019-07-18 00:00:00,1331.56,2000
485011,2019-08-07 00:00:00,6662.23,10000
485011,2019-08-19 00:00:00,1315.79,2000
485011,2019-09-17 00:00:00,2633.31,4000
485011,2019-09-18 00:00:00,1317.52,2000
485011,2019-09-26 00:00:00,5266.62,8000
485011,2019-09-30 00:00:00,6596.31,10000
485011,2019-10-08 00:00:00,1317.52,2000
485011,2019-10-28 00:00:00,5277.04,8000
485011,2019-11-18 00:00:00,1317.52,2000
485011,2020-03-10 00:00:00,-13000,-20566
485011,2020-03-16 00:00:00,-13000,-20058
485011,2020-03-19 00:00:00,-42373.76,-65170.84
005218,2018-05-17 00:00:00,9801.02,10000
005218,2020-02-17 00:00:00,8586.41,10000
005218,2020-03-16 00:00:00,4497.59,5000
005218,2020-03-23 00:00:00,-22885.02,-24674.08
161005,2018-06-15 00:00:00,245.81,500
161005,2018-07-16 00:00:00,249.19,500
161005,2018-08-15 00:00:00,275.78,500
161005,2018-09-17 00:00:00,300.88,500
161005,2018-10-15 00:00:00,313.46,500
161005,2018-12-17 00:00:00,321.10,500
161005,2019-01-15 00:00:00,327.25,500
161005,2019-02-15 00:00:00,303.20,500
161005,2019-03-01 00:00:00,272.72,500
161005,2019-03-05 00:00:00,1065.46,2000
161005,2019-03-15 00:00:00,258.89,500
161005,2019-03-27 00:00:00,1010.99,2000
161005,2019-04-10 00:00:00,934.75,2000
161005,2019-04-11 00:00:00,960.93,2000
161005,2019-04-22 00:00:00,-2000,-4128.85
161005,2019-05-09 00:00:00,524.59,1000
161005,2019-05-23 00:00:00,520.19,1000
161005,2019-06-06 00:00:00,528.00,1000
161005,2019-07-05 00:00:00,469.26,1000
161005,2019-08-02 00:00:00,480.23,1000
