code,time,units,cost
000148,2019-05-23 00:00:00,17050.3,20000.0
000148,2019-08-06 00:00:00,0.0,-861.16
000148,2019-08-08 00:00:00,8779.63,10000.0
000148,2019-08-27 00:00:00,18388.79,21000.0
000148,2020-02-07 00:00:00,8748.91,10000.0
000148,2020-02-18 00:00:00,0.0,-1006.38
000148,2020-03-05 00:00:00,8810.57,10000.0
000148,2020-03-23 00:00:00,-61778.2,-69981.55
000248,2019-05-21 00:00:00,276.78,500.0
000248,2019-06-21 00:00:00,263.99,500.0
000248,2019-07-02 00:00:00,250.92,500.0
000248,2019-07-11 00:00:00,510.53,1000.0
000248,2019-07-16 00:00:00,253.4,500.0
000248,2019-07-30 00:00:00,255.89,500.0
000248,2019-08-19 00:00:00,516.15,1000.0
000248,2019-09-06 00:00:00,-2327.66,-4691.56
000286,2018-10-23 00:00:00,18719.7,20000.0
000286,2018-10-25 00:00:00,0.0,-225.2
000286,2019-01-08 00:00:00,9374.3,10000.0
000286,2019-01-22 00:00:00,266.45,0.0
000286,2019-03-18 00:00:00,935.98,1000.0
000286,2019-04-19 00:00:00,0.0,-441.31
000286,2019-10-22 00:00:00,0.0,-294.21
000286,2020-01-16 00:00:00,0.0,-294.21
000286,2020-01-20 00:00:00,-9500.0,-9952.35
000286,2020-02-03 00:00:00,-19796.43,-20924.28
000311,2019-03-01 00:00:00,27000.0,52920.0
000311,2019-04-03 00:00:00,-27000.0,-57402.0
000311,2019-04-08 00:00:00,1435.45,3100.0
000311,2019-04-24 00:00:00,232.49,500.0
000311,2019-04-25 00:00:00,1427.53,3000.0
000311,2019-04-30 00:00:00,948.97,2000.0
000311,2019-05-06 00:00:00,1003.81,2000.0
000311,2019-06-10 00:00:00,466.48,900.0
000311,2019-07-04 00:00:00,477.89,1000.0
000311,2019-07-05 00:00:00,427.44,900.0
000311,2019-07-19 00:00:00,432.17,900.0
000311,2019-07-26 00:00:00,427.04,900.0
000311,2019-08-01 00:00:00,482.74,1000.0
000311,2019-08-02 00:00:00,440.64,900.0
000311,2019-08-06 00:00:00,502.92,1000.0
000311,2019-08-19 00:00:00,872.31,1800.0
000311,2019-09-06 00:00:00,-2394.47,-5127.14
000311,2019-09-17 00:00:00,847.63,1800.0
000311,2019-10-17 00:00:00,836.98,1800.0
000311,2019-11-18 00:00:00,852.46,1800.0
000311,2019-12-17 00:00:00,-2430.12,-5222.81
000311,2019-12-27 00:00:00,-1200.0,-2559.94
000311,2020-01-13 00:00:00,-1522.59,-3414.76
000311,2020-02-04 00:00:00,485.79,1000.0
000311,2020-02-05 00:00:00,482.27,1000.0
000311,2020-02-06 00:00:00,474.26,1000.0
000311,2020-02-07 00:00:00,474.03,1000.0
000311,2020-02-11 00:00:00,466.72,1000.0
000311,2020-02-17 00:00:00,816.08,1800.0
000311,2020-02-26 00:00:00,-3000.0,-6549.09
000311,2020-03-12 00:00:00,994.93,2000.0
000311,2020-03-16 00:00:00,500.9,1000.0
000311,2020-03-17 00:00:00,1105.3,2200.0
000311,2020-03-27 00:00:00,500.15,1000.0
000311,2020-04-17 00:00:00,1538.09,3200.0
000311,2020-04-29 00:00:00,-2339.07,-4864.22
000311,2020-04-30 00:00:00,-1754.31,-3683.08
000311,2020-05-18 00:00:00,1511.9,3200.0
000311,2020-05-22 00:00:00,487.21,1000.0
000311,2020-05-28 00:00:00,482.27,1000.0
000311,2020-06-01 00:00:00,-1936.07,-4105.14
000311,2020-06-03 00:00:00,-1000.0,-2125.32
000311,2020-06-09 00:00:00,-1202.06,-2577.49
000311,2020-06-18 00:00:00,825.45,1800.0
000311,2020-07-06 00:00:00,-1107.9,-2793.38
000311,2020-07-14 00:00:00,453.82,1200.0
000311,2020-07-16 00:00:00,399.2,1000.0
000311,2020-08-04 00:00:00,-2000.0,-5271.51
000311,2020-08-17 00:00:00,-2176.73,-5802.3
000478,2019-04-08 00:00:00,2259.15,5000.0
000478,2019-04-11 00:00:00,2327.42,5080.0
000478,2019-04-18 00:00:00,36.4,80.0
000478,2019-04-24 00:00:00,461.82,1000.0
000478,2019-04-25 00:00:00,668.6,1400.0
000478,2019-04-29 00:00:00,443.73,900.0
000478,2019-05-06 00:00:00,210.38,400.0
000478,2019-05-07 00:00:00,1039.51,2000.0
000478,2019-05-20 00:00:00,471.26,900.0
000478,2019-05-27 00:00:00,466.52,900.0
000478,2019-06-03 00:00:00,474.77,900.0
000478,2019-06-10 00:00:00,324.38,600.0
000478,2019-06-17 00:00:00,478.92,900.0
000478,2019-06-24 00:00:00,457.42,900.0
000478,2019-07-01 00:00:00,449.46,900.0
000478,2019-07-08 00:00:00,468.39,900.0
000478,2019-07-15 00:00:00,462.22,900.0
000478,2019-07-22 00:00:00,473.35,900.0
000478,2019-07-26 00:00:00,463.53,900.0
000478,2019-08-26 00:00:00,235.35,450.0
000478,2019-09-06 00:00:00,-2000.0,-4020.0
000478,2019-09-26 00:00:00,229.62,450.0
000478,2019-10-28 00:00:00,397.0,800.0
000478,2019-11-26 00:00:00,413.35,800.0
000478,2019-12-17 00:00:00,-1500.0,-3063.8
000478,2020-01-13 00:00:00,-2553.14,-5515.91
000478,2020-02-03 00:00:00,-7000.0,-13296.18
000478,2020-02-14 00:00:00,216.62,450.0
000478,2020-02-25 00:00:00,492.8,1100.0
000478,2020-02-28 00:00:00,216.04,450.0
000478,2020-03-06 00:00:00,729.06,1600.0
000478,2020-03-13 00:00:00,216.03,450.0
000478,2020-03-19 00:00:00,-2529.96,-4958.87
000754,2020-06-15 00:00:00,8585.16,10000.0
000754,2020-06-18 00:00:00,8580.74,10000.0
