date,jjjz,ljjz,rate,units,totalCost,cost,incomeTotal,income,incomePercent,incomeDay
2020-09-14 00:00:00,5.19,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-15 00:00:00,5.225,5.225,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-16 00:00:00,5.195,5.195,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-09-17 00:00:00,5.191,5.191,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-09-18 00:00:00,5.221,5.221,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-21 00:00:00,5.19,5.19,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-09-22 00:00:00,5.166,5.166,-0.46,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-09-23 00:00:00,5.194,5.194,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-24 00:00:00,5.148,5.148,-0.89,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-09-25 00:00:00,5.157,5.157,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-28 00:00:00,5.171,5.171,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-29 00:00:00,5.206,5.206,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30 00:00:00,5.201,5.201,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-10-09 00:00:00,5.298,5.298,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-12 00:00:00,5.361,5.361,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-13 00:00:00,5.412,5.412,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-14 00:00:00,5.469,5.469,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-15 00:00:00,5.441,5.441,-0.51,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-10-16 00:00:00,5.406,5.406,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-10-19 00:00:00,5.386,5.386,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-10-20 00:00:00,5.446,5.446,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-21 00:00:00,5.391,5.391,-1.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-10-22 00:00:00,5.353,5.353,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-10-23 00:00:00,5.267,5.267,-1.61,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-10-26 00:00:00,5.287,5.287,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-27 00:00:00,5.318,5.318,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-28 00:00:00,5.344,5.344,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
