code,rate,days,result
000148,0.72,28,False
000248,-9.84,29,True
000286,0.48,26,False
000311,-5.56,29,True
000478,-5.61,29,True
000754,-0.99,22,False
001158,-15.57,29,True
001204,0.92,7,False
001548,-6.74,28,True
001549,-6.76,28,True
003745,-18.32,23,True
005217,-4.39,29,False
005218,-6.79,29,True
005219,-6.84,29,True
006042,-6.73,29,True
006630,0.73,29,False
006862,-2.9,21,False
007094,0.51,29,False
008127,0.71,17,False
070020,-1.68,29,False
110007,1.34,18,False
161005,-7.32,29,True
161120,0.77,22,False
161716,0.82,28,False
217011,0.65,29,False
260108,15.79,18,True
485011,-0.91,29,False
506005,9.43,7,True
519062,2.52,18,False
519697,6.01,7,True
519732,-10.71,23,True
