code,rateY1,rateY3,rateY5
000148,0.44,13.44,18.58
000248,64.29,129.12,267.41
000286,1.59,12.92,22.4
000311,45.46,41.33,95.4
000478,37.83,14.33,21.87
000754,4.67,14.68,20.2
001158,92.81,109.62,120.06
001204,14.04,42.12,70.2
001548,39.65,56.65,94.41
001549,33.79,101.36,168.93
003745,32.77,98.31,163.85
005217,14.99,24.05,36.14
005218,18.98,30.06,45.73
005219,18.5,28.49,43.06
006042,26.63,47.22,78.7
006630,1.39,11.95,19.92
006862,7.78,23.35,38.92
007094,0.96,13.39,22.32
008127,7.57,23.03,38.39
070020,12.24,26.74,44.56
110007,7.44,45.41,75.68
161005,68.71,127.22,212.03
161120,2.88,8.63,14.38
161716,2.12,19.31,32.98
217011,2.28,6.84,11.39
260108,96.09,253.57,422.62
485011,5.95,19.6,25.32
506005,18.27,54.81,91.35
519062,4.42,19.04,32.66
519697,31.75,72.73,140.47
519732,23.37,70.12,116.87
