,code,name,MaxDrawDown,1W,1M,3M,6M,1Y,2Y,3Y,4Y,5Y
0,000001,华夏成长混合,-57.9263982177039,-1.42,9.39,-4.08,-1.44,25.67,25.53,22.81,38.13,40.90
0,000003,中海可转换债券A,-69.73505362219352,-0.46,1.64,-8.24,-5.34,11.55,10.84,16.02,8.22,-5.75
0,000004,中海可转换债券C,-70.00596218142886,-0.35,1.65,-8.37,-5.57,11.04,10.33,15.18,7.05,-7.09
0,000005,嘉实增强信用定期债券,-3.980288477661942,0.10,0.39,0.69,2.40,1.94,8.23,17.36,21.17,21.40
0,000011,华夏大盘精选混合,-53.98000180153186,-0.03,7.51,-0.80,19.91,76.95,70.69,63.44,116.98,140.19
0,000014,华夏聚利债券,-10.801076028659862,-0.12,0.83,0.12,13.38,29.90,35.91,46.68,48.09,47.45
0,000017,财通可持续混合,-63.8174786123382,-2.53,5.97,-9.70,9.02,65.20,85.74,72.90,89.98,89.33
0,000020,景顺长城品质投资混合,-56.76000272537789,-2.95,2.39,-10.29,4.33,43.34,97.69,68.95,132.97,172.24
0,000021,华夏优势增长混合,-65.72919732698146,-1.69,4.75,-14.23,14.16,56.72,73.64,61.16,74.60,84.81
0,000024,大摩双利增强A,-7.70680275410649,0.09,0.43,0.78,3.11,6.05,11.04,19.30,18.42,22.03
0,000025,大摩双利增强C,-7.925450293337855,0.09,0.35,0.70,2.96,5.66,10.24,17.92,16.92,19.94
0,000029,富国宏观策略混合,-51.13396031675255,-0.58,0.75,-6.19,10.73,33.89,82.22,71.83,128.65,165.12
0,000030,长城久利混合,-38.0473082479433,-5.49,8.09,-19.67,13.70,59.74,92.73,102.15,104.16,60.12
0,000031,华夏复兴混合,-64.11782747915879,-0.09,7.78,-10.39,4.33,57.11,100.43,82.42,75.19,80.68
0,000032,易方达信用债债券A,-4.942424920681843,0.00,0.18,0.54,1.37,1.15,6.39,14.33,16.76,19.70
0,000033,易方达信用债债券C,-5.14214163357849,0.00,0.18,0.45,1.19,0.80,5.60,13.48,15.46,17.91
0,000039,农银高增长混合,-66.9126659743466,-1.11,2.00,-16.27,-3.32,28.55,59.11,46.67,58.43,60.72
0,000045,工银产业债券A,-7.39760068513119,-0.53,0.80,-1.18,4.82,9.60,16.51,23.39,31.45,30.66
0,000046,工银产业债券B,-7.50265031728058,-0.54,0.75,-1.27,4.67,9.19,15.55,22.12,29.69,28.52
0,000047,华夏双债债券A,-6.3993720733860116,-0.13,0.59,-1.85,5.25,16.01,29.74,38.13,42.37,41.89
0,000048,华夏双债债券C,-6.443332326583384,-0.13,0.60,-1.88,5.15,15.69,28.88,36.97,40.97,40.22
0,000053,鹏华永诚一年定期开放债券,-15.335816193077967,0.06,0.22,0.63,1.15,2.38,11.63,20.01,19.26,15.37
0,000056,建信消费升级混合,-45.72809681481297,-3.07,4.41,-11.30,5.46,43.26,68.15,58.14,82.09,114.44
0,000061,华夏盛世混合,-80.40810095389392,1.90,2.29,-4.02,11.76,41.32,61.26,33.09,1.03,20.40
0,000063,长盛电子信息主题混合,-67.00213951397431,-1.99,2.07,-16.88,3.13,24.14,47.94,5.45,8.70,6.13
0,000064,大摩华鑫纯债增利债券,-3.122525892708694,0.00,1.64,0.18,6.78,20.59,,,,
0,000065,国富焦点驱动混合,-11.665448774354214,-0.26,1.96,1.53,8.71,19.22,28.46,31.35,43.08,49.44
0,000066,诺安鸿鑫混合,-27.314390224563713,-1.55,1.11,3.16,24.98,70.70,82.50,94.19,102.39,77.66
0,000072,华安稳健回报混合,-11.055499974052484,-0.09,1.18,-0.20,8.96,19.29,27.74,32.39,40.01,26.25
0,000073,上投成长动力混合,-75.64506577445374,-3.76,6.19,-10.12,14.69,73.26,134.40,69.30,139.36,136.75
0,000083,汇添富消费行业混合,-60.38883551739171,-4.26,12.52,-7.44,15.31,78.30,123.52,136.40,242.66,314.75
0,000084,博时安盈债券A,-2.7950855266498653,0.07,0.33,0.91,1.51,2.53,6.50,12.93,16.17,17.75
0,000085,博时安盈债券C,-2.918623947479948,0.06,0.32,0.84,1.35,2.23,5.85,11.79,14.64,15.58
0,000086,南方稳利1年定期开放债券A,-6.000963992247166,0.09,0.76,1.34,2.82,2.56,9.21,14.39,16.01,16.94
0,000087,嘉实中期国债ETF联接A	,-8.34040625291067,-0.05,0.03,-0.57,-0.17,-3.43,-3.05,-1.68,-5.00,-5.95
0,000088,嘉实中证金边中期国债交易型开放式指数证券,-8.585168179404533,-0.06,0.00,-0.65,-0.34,-3.73,-3.10,-1.90,-5.21,-6.34
0,000103,国泰中国企业境外高收益债券(QDII),-15.247499727971425,-0.22,0.27,-0.54,-2.76,2.61,-1.52,6.29,0.83,15.54
0,000105,建信安心回报债券A,-4.129148675317218,0.00,0.58,0.65,1.16,1.90,8.06,15.02,18.64,17.74
0,000106,建信安心回报债券C,-4.339751083264176,0.00,0.52,0.52,0.97,1.50,7.22,13.80,16.96,15.65
0,000107,富国信用增强债券A,-5.5625272452497825,0.25,1.31,1.89,2.65,4.90,12.36,20.04,24.20,26.22
0,000109,富国信用增强债券C,-5.588188672370064,0.17,1.25,1.84,2.45,4.47,11.41,18.55,22.26,23.80
0,000110,金鹰元安混合A,-9.385462515733456,-0.50,1.62,-0.64,9.58,32.74,31.20,52.66,57.37,59.24
0,000113,嘉实如意宝定期债券A,-3.0399672709343073,0.00,0.25,0.51,1.46,1.29,5.29,12.40,14.62,15.01
0,000115,嘉实如意宝定期债券C,-3.051074063827941,0.00,0.26,0.43,1.31,0.87,4.39,11.11,13.03,12.93
0,000117,广发轮动配置混合,-67.08536435799483,-3.36,7.33,-11.19,13.52,71.10,106.17,109.56,105.78,149.36
0,000118,广发聚鑫债券A,-16.722623950338665,-0.59,1.20,-0.32,4.75,13.20,28.05,38.18,46.73,45.49
0,000119,广发聚鑫债券C,-17.968888667795767,-0.59,1.20,-0.45,4.50,12.76,27.43,37.06,45.11,43.56
0,000121,华夏永福混合A,-8.38324844538355,-0.33,1.23,-2.37,10.40,30.42,43.42,46.68,58.99,65.37
0,000122,汇添富实业债A,-4.112645631661927,0.16,0.49,0.57,1.56,2.57,8.22,11.33,15.59,15.22
0,000123,汇添富实业债C,-4.2346387303214605,0.08,0.51,0.42,1.36,2.14,7.38,9.95,13.51,12.84
0,000124,华宝兴业服务混合,-71.4162727512908,-1.53,0.86,-17.02,3.18,65.67,96.58,82.46,98.37,91.53
0,000126,招商安润混合,-22.90049958456899,-0.43,8.16,-7.80,17.40,79.21,155.13,158.10,163.72,124.78
0,000127,农银行业领先混合,-54.491964041282515,-1.23,1.72,-9.41,13.09,56.15,83.09,74.93,121.66,176.46
0,000128,大成景安短融债券A,-1.3557602037802763,0.05,0.26,0.55,1.47,2.20,6.03,9.50,15.58,17.57
0,000129,大成景安短融债券B,-1.2673780384848676,0.05,0.28,0.62,1.61,2.49,6.66,10.42,16.90,19.33
0,000130,大成景兴信用债债券A,-12.140786754742471,-0.19,0.63,-0.24,0.95,1.48,5.63,16.96,20.45,15.35
0,000131,大成景兴信用债债券C,-12.36873457494121,-0.20,0.59,-0.35,0.74,1.06,4.76,15.53,18.50,13.36
0,000139,富国国有企业债债券,-2.607651211318307,0.06,0.34,0.87,1.98,2.71,6.47,11.58,15.27,16.98
0,000141,富国国有企业债债券C,-2.7071822960863967,0.04,0.30,0.78,1.78,2.31,5.64,10.39,13.71,15.03
0,000147,易方达高等级信用债债券A,-4.119123151605497,0.09,0.54,0.99,1.53,0.97,7.11,15.30,19.17,18.75
0,000148,易方达高等级信用债债券C,-4.195785012461117,0.09,0.45,0.99,1.35,0.62,6.44,14.20,19.95,19.09
0,000149,华安双债添利债券A,-7.988394510518937,0.02,0.25,-0.07,1.84,3.92,7.73,15.05,20.36,15.22
0,000150,华安双债添利债券C,-8.084586751891642,0.02,0.22,-0.15,1.65,3.56,6.95,13.74,18.51,13.36
0,000166,中海策略精选混合,-45.78327455988762,-0.77,-0.98,-25.79,-11.07,15.14,66.91,71.63,77.95,78.40
0,000167,广发聚优灵活配置混合,-69.69519833691322,-4.75,5.63,-11.71,13.15,73.49,130.86,109.08,150.20,167.72
0,000172,华泰柏瑞量化增强混合,-47.412452995228946,-1.15,2.97,-3.95,6.25,33.96,33.36,26.11,42.41,67.05
0,000173,汇添富美丽30混合,-64.99875612351386,-5.99,3.56,-7.59,4.38,51.76,48.91,33.87,89.33,100.51
0,000174,汇添富高息债债券A,-10.529538507332969,0.13,0.32,-2.08,-1.90,-2.51,5.01,10.07,12.95,15.59
0,000175,汇添富高息债债券C,-10.594510822121483,0.07,0.27,-2.21,-2.14,-2.92,4.13,5.79,8.14,10.24
0,000181,景顺长城四季金利债券A,-5.684501646092421,0.08,0.17,-2.51,-0.50,-0.33,0.59,9.21,13.00,17.07
0,000182,景顺长城四季金利债券C,-6.058693243770474,0.09,0.09,-2.57,-0.76,-0.76,-0.34,7.85,11.14,14.64
0,000183,嘉实丰益策略定期债券,-4.855887117547509,0.40,0.20,0.00,1.18,4.70,9.85,13.61,13.71,17.60
0,000184,工银添福债券A,-8.667287717773464,-0.62,-0.43,-1.95,1.90,6.14,4.76,5.22,6.95,7.94
0,000185,工银添福债券B,-7.8444609300802215,-0.56,-0.44,-2.03,1.79,5.71,3.98,6.43,7.69,8.29
0,000186,华泰柏瑞季季红债券,-3.926207758363376,0.03,0.24,0.22,0.66,-0.11,5.83,16.08,20.44,20.12
0,000189,易方达丰华债券A,-6.990267766206603,-0.64,1.67,-2.23,4.75,17.24,28.93,,,
0,000191,富国信用债债券,-3.259822614094865,0.08,0.61,1.23,2.30,2.51,9.12,16.94,19.77,21.18
0,000192,富国信用债债券C,-3.3059555082481817,0.06,0.57,1.13,2.08,2.09,8.23,15.60,18.05,19.07
0,000195,工银成长收益混合A,-7.3248883728935565,-0.48,0.76,-0.55,6.26,32.37,57.03,98.29,,
0,000196,工银成长收益混合B,-7.231685734266479,-0.50,0.64,-0.78,5.62,30.63,52.12,89.13,,
0,000199,国泰策略收益灵活配置混合,-63.416265053002554,-2.32,4.57,-7.21,14.08,55.76,59.23,40.38,36.93,66.72
0,000200,博时岁岁增利一年定期开放债券,-24.973157487996378,0.44,1.40,3.66,12.89,24.29,,,,
0,000201,诺安泰鑫一年定期开放债券,-6.24982931950645,0.00,0.20,0.30,9.25,22.73,,,,
0,000205,易方达投资级信用债债券A,-4.440165569067256,0.09,0.35,0.71,1.42,1.12,6.83,13.42,16.67,16.61
0,000206,易方达投资级信用债债券C,-4.545419167035114,0.09,0.35,0.62,1.24,0.87,6.31,12.69,15.99,15.67
0,000207,建信双债增强债券A,-13.559796932882406,-0.64,-0.08,-5.30,-2.04,-0.08,0.56,1.54,0.64,-0.24
0,000208,建信双债增强债券C,-14.25180370001452,-0.65,-0.16,-5.37,-2.25,-0.41,-0.16,0.41,-0.90,-2.17
0,000209,信诚新兴产业混合,-77.70158799725489,-2.62,3.30,-11.03,28.97,107.15,119.20,91.17,65.72,67.13
0,000214,广发成长优选混合,-17.88218143238224,-0.93,0.77,-3.52,8.43,23.78,27.14,29.35,39.99,40.72
0,000215,广发趋势优选灵活配置混合,-14.94988365748432,0.10,0.83,1.01,3.22,8.08,15.02,18.21,34.28,46.38
