,code,name,MaxDrawDown,1W,1M,3M,6M,1Y,2Y,3Y,4Y,5Y
0,1,华夏成长混合,-57.92639822,0.23,5.1,-3.78,-6.97,19.91,23.26,24.8,33.6,40.5
0,3,中海可转换债券A,-69.73505362,-0.12,-0.92,-9.81,-8.86,8.54,12.21,16.76,7.6,-4.95
0,4,中海可转换债券C,-70.00596218,-0.12,-0.92,-9.85,-8.99,8.04,11.69,16.06,6.44,-6.32
0,5,嘉实增强信用定期债券,-3.980288478,0.1,0.39,0.59,2.2,0.86,8.61,17.34,21.27,21.26
0,11,华夏大盘精选混合,-53.9800018,0.95,1.41,-0.2,14.9,69.63,62.36,66.04,108.2,147.6
0,14,华夏聚利债券,-10.80107603,0.47,0.06,-0.82,9.61,27.25,36.22,47.31,47.57,46.93
0,17,财通可持续混合,-63.81747861,0,1.85,-9.83,1.97,53.47,81.85,76.45,83.74,92.48
0,20,景顺长城品质投资混合,-56.76000273,0.69,0.29,-10.73,-2.4,36.19,92.76,70.23,122.69,170.46
0,21,华夏优势增长混合,-65.72919733,1.22,1.81,-12.48,6.18,47.36,71.68,62.67,69.21,89.7
0,24,大摩双利增强A,-7.706802754,0.09,0.43,0.78,2.56,5.87,11.12,19.28,18.5,21.92
0,25,大摩双利增强C,-7.925450293,0.09,0.35,0.7,2.41,5.48,10.23,17.9,17,19.92
0,29,富国宏观策略混合,-51.13396032,0.2,-3.31,-9.01,3.33,29.58,77.78,72.53,116.99,163
0,30,长城久利混合,-38.04730825,1.5,0.19,-19.26,0.28,51.04,89.1,97.99,100.26,59.12
0,31,华夏复兴混合,-64.11782748,1.11,5.76,-9.56,-2.73,46.27,96.84,84.92,70.53,81.34
0,32,易方达信用债债券A,-4.942424921,0.09,0.36,0.63,1.46,0.53,6.38,14.22,16.83,19.57
0,33,易方达信用债债券C,-5.142141634,0.09,0.36,0.54,1.28,0.18,5.59,13.37,15.63,17.88
0,39,农银高增长混合,-66.91266597,0.87,1.53,-13.66,-7.34,22.94,58.83,49.05,55.67,67.54
0,45,工银产业债券A,-7.397600685,0.27,0.07,-1.11,3.68,8.43,15.93,23.6,30.94,30.59
0,46,工银产业债券B,-7.502650317,0.27,0,-1.2,3.5,8.07,14.97,22.33,29.08,28.44
0,2087,国富新机遇混合A,-3.769929498,0.4,0.53,0.4,6.35,20.28,37.79,43.64,50.44,55.27
0,2513,金鹰元安混合C,-7.518695965,0.43,0.41,-0.72,5.73,23.93,24.77,46.59,49.68,
0,53,鹏华永诚一年定期开放债券,-15.33581619,0.15,0.41,0.69,1.23,2.15,11.42,19.78,19.58,15.52
0,56,建信消费升级混合,-45.72809681,1.33,3.15,-8.84,1.26,41.47,63.16,63.08,79,120.35
0,61,华夏盛世混合,-80.40810095,2.57,1.22,-0.65,5.59,35.69,63.28,34.84,-1.74,22.97
0,63,长盛电子信息主题混合,-67.00213951,0.26,0.41,-15.17,-3.53,19.3,47.72,6.36,5.15,6.59
0,64,大摩华鑫纯债增利债券,-3.122525893,0.19,1.74,0.09,6.77,20.78,,,,
0,65,国富焦点驱动混合,-11.66544877,0.73,0.73,1.58,7.4,18.84,28.5,32.74,42.96,50.08
0,66,诺安鸿鑫混合,-27.31439022,3.72,-3.21,-0.43,19.7,66.03,80.89,92.49,100.34,77.02
0,72,华安稳健回报混合,-11.05549997,0.22,0.49,0.1,6.32,15.52,27.52,31.81,39.76,25.74
0,73,上投成长动力混合,-75.64506577,2.42,3.66,-7.93,11.51,66.78,131.57,77.52,136.38,148.5
0,83,汇添富消费行业混合,-60.38883552,1.9,7.51,-3.35,11.77,75.07,114.86,145.9,235.99,320.75
0,84,博时安盈债券A,-2.795085527,0.06,0.34,0.91,1.46,2.33,6.47,12.83,16.27,17.75
0,85,博时安盈债券C,-2.918623947,0.06,0.32,0.84,1.31,2.02,5.83,11.68,14.62,15.67
0,86,南方稳利1年定期开放债券A,-6.000963992,0.19,0.86,1.34,2.72,2.07,9.2,14.36,16.21,17.24
0,87,"嘉实中期国债ETF联接A	",-8.340406253,0.15,0.3,-0.34,0.37,-4.47,-3.12,-1.58,-4.87,-5.72
